FK_Name|ParentTable|ParentColumn|ReferencedTable|ReferencedColumn
FK_CredentialApplicationFormAnswerOptionDocumentType_CredentialApplicationFormAnswerOption|tblCredentialApplicationFormAnswerOptionDocumentType|CredentialApplicationFormAnswerOptionId|tblCredentialApplicationFormAnswerOption|CredentialApplicationFormAnswerOptionId
FK_CredentialApplicationFormAnswerOptionDocumentType_DocumentType|tblCredentialApplicationFormAnswerOptionDocumentType|DocumentTypeId|tluDocumentType|DocumentTypeId
FK_CredentialApplicationFormCredentialType_CredentialApplicationForm|tblCredentialApplicationFormCredentialType|CredentialApplicationFormId|tblCredentialApplicationForm|CredentialApplicationFormId
FK_CredentialApplicationFormCredentialType_CredentialType|tblCredentialApplicationFormCredentialType|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialApplicationFormQuestion_CredentialApplicationField|tblCredentialApplicationFormQuestion|CredentialApplicationFieldId|tblCredentialApplicationField|CredentialApplicationFieldId
FK_CredentialApplicationFormQuestion_CredentialApplicationFormQuestionType|tblCredentialApplicationFormQuestion|CredentialApplicationFormQuestionTypeId|tblCredentialApplicationFormQuestionType|CredentialApplicationFormQuestionTypeId
FK_CredentialApplicationFormQuestion_CredentialApplicationFormSection|tblCredentialApplicationFormQuestion|CredentialApplicationFormSectionId|tblCredentialApplicationFormSection|CredentialApplicationFormSectionId
FK_CredentialApplicationFormQuestionAnswerOption_CredentialApplicationField|tblCredentialApplicationFormQuestionAnswerOption|CredentialApplicationFieldId|tblCredentialApplicationField|CredentialApplicationFieldId
FK_CredentialApplicationFormQuestionAnswerOption_CredentialApplicationFieldOptionOption|tblCredentialApplicationFormQuestionAnswerOption|CredentialApplicationFieldOptionOptionId|tblCredentialApplicationFieldOptionOption|CredentialApplicationFieldOptionOptionId
FK_CredentialApplicationFormQuestionAnswerOption_CredentialApplicationFormAnswerOption|tblCredentialApplicationFormQuestionAnswerOption|CredentialApplicationFormAnswerOptionId|tblCredentialApplicationFormAnswerOption|CredentialApplicationFormAnswerOptionId
FK_CredentialApplicationFormQuestionAnswerOption_CredentialApplicationFormQuestion|tblCredentialApplicationFormQuestionAnswerOption|CredentialApplicationFormQuestionId|tblCredentialApplicationFormQuestion|CredentialApplicationFormQuestionId
FK_CredentialApplicationFormQuestionLogic_CredentialApplicationFormQuestion|tblCredentialApplicationFormQuestionLogic|CredentialApplicationFormQuestionId|tblCredentialApplicationFormQuestion|CredentialApplicationFormQuestionId
FK_CredentialApplicationFormQuestionLogic_CredentialApplicationFormQuestionAnswerOption|tblCredentialApplicationFormQuestionLogic|CredentialApplicationFormQuestionAnswerOptionId|tblCredentialApplicationFormQuestionAnswerOption|CredentialApplicationFormQuestionAnswerOptionId
FK_CredentialApplicationFormQuestionLogic_CredentialRequestPathType|tblCredentialApplicationFormQuestionLogic|CredentialRequestPathTypeId|tblCredentialRequestPathType|CredentialRequestPathTypeId
FK_CredentialApplicationFormQuestionLogic_CredentialType|tblCredentialApplicationFormQuestionLogic|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialApplicationFormQuestionLogic_Skill|tblCredentialApplicationFormQuestionLogic|SkillId|tblSkill|SkillId
FK_CredentialApplicationFormQuestionType_CredentialApplicationFormAnswerType|tblCredentialApplicationFormQuestionType|CredentialApplicationFormAnswerTypeId|tblCredentialApplicationFormAnswerType|CredentialApplicationFormAnswerTypeId
FK_CredentialApplicationFormSection_CredentialApplicationForm|tblCredentialApplicationFormSection|CredentialApplicationFormId|tblCredentialApplicationForm|CredentialApplicationFormId
FK_CredentialApplicationNote_CredentialApplication|tblCredentialApplicationNote|CredentialApplicationId|tblCredentialApplication|CredentialApplicationId
FK_CredentialApplicationNote_Note|tblCredentialApplicationNote|NoteId|tblNote|NoteId
FK_CredentialApplicationRefund_CredentialWorkflowFee|tblCredentialApplicationRefund|CredentialWorkflowFeeId|tblCredentialWorkflowFee|CredentialWorkflowFeeId
FK_CredentialApplicationRefund_RefundMethodType|tblCredentialApplicationRefund|RefundMethodTypeId|tblRefundMethodType|RefundMethodTypeId
FK_CredentialApplicationRefund_SystemActionTypeOnCreditNote|tblCredentialApplicationRefund|OnCreditNoteCreatedSystemActionTypeId|tblSystemActionType|SystemActionTypeId
FK_CredentialApplicationRefund_SystemActionTypeOnPaymentCreated|tblCredentialApplicationRefund|OnPaymentCreatedSystemActionTypeId|tblSystemActionType|SystemActionTypeId
FK_CredentialApplicationRefund_User|tblCredentialApplicationRefund|UserId|tblUser|UserId
FK_CredentialApplicationRefundPolicy_User|tblCredentialApplicationRefundPolicy|ModifiedUser|tblUser|UserId
FK_CredentialApplicationStatusType_User|tblCredentialApplicationStatusType|ModifiedUser|tblUser|UserId
FK_CredentialApplicationType_CredentialApplicationTypeCategory|tblCredentialApplicationType|CredentialApplicationTypeCategoryId|tblCredentialApplicationTypeCategory|CredentialApplicationTypeCategoryId
FK_CredentialApplicationType_User|tblCredentialApplicationType|ModifiedUser|tblUser|UserId
FK_CredentialApplicationTypeCategory_User|tblCredentialApplicationTypeCategory|ModifiedUser|tblUser|UserId
FK_CredentialApplicationTypeCredentialType_CredentialApplicationType|tblCredentialApplicationTypeCredentialType|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialApplicationTypeCredentialType_CredentialType|tblCredentialApplicationTypeCredentialType|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialApplicationTypeCredentialType_User|tblCredentialApplicationTypeCredentialType|ModifiedUser|tblUser|UserId
FK_CredentialApplicationTypeDocumentType_CredentialApplicationType|tblCredentialApplicationTypeDocumentType|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialApplicationTypeDocumentType_DocumentType|tblCredentialApplicationTypeDocumentType|DocumentTypeId|tluDocumentType|DocumentTypeId
FK_CredentialApplicationTypeDocumentType_User|tblCredentialApplicationTypeDocumentType|ModifiedUser|tblUser|UserId
FK_CredentialApplicationTypeTestLocation_User|tblCredentialApplicationTypeTestLocation|ModifiedUser|tblUser|UserId
FK_tblCredentialApplicationTypeTestLocation_CredentialApplicationTypeId_tblCredentialApplicationType_CredentialApplicationTypeId|tblCredentialApplicationTypeTestLocation|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_tblCredentialApplicationTypeTestLocation_TestLocationId_tblTestLocation_TestLocationId|tblCredentialApplicationTypeTestLocation|TestLocationId|tblTestLocation|TestLocationId
FK_CredentialAttachment_Credential|tblCredentialAttachment|CredentialId|tblCredential|CredentialId
FK_CredentialAttachment_StoredFile|tblCredentialAttachment|StoredFileId|tblStoredFile|StoredFileId
FK_CredentialCategory_User|tblCredentialCategory|ModifiedUser|tblUser|UserId
FK_CredentialCredentialRequest_Credential|tblCredentialCredentialRequest|CredentialId|tblCredential|CredentialId
FK_CredentialCredentialRequest_CredentialRequest|tblCredentialCredentialRequest|CredentialRequestId|tblCredentialRequest|CredentialRequestId
FK_CredentialFeeProduct_CredentialApplicationRefundPolicy|tblCredentialFeeProduct|CredentialApplicationRefundPolicyId|tblCredentialApplicationRefundPolicy|CredentialApplicationRefundPolicyId
FK_CredentialFeeProduct_CredentialApplicationType|tblCredentialFeeProduct|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialFeeProduct_CredentialType|tblCredentialFeeProduct|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialFeeProduct_ProductSpecification|tblCredentialFeeProduct|ProductSpecificationId|tblProductSpecification|ProductSpecificationId
FK_CredentialFeeProduct_User|tblCredentialFeeProduct|ModifiedUser|tblUser|UserId
FK_tblCredentialPrerequisite_tblCredentialApplicationType|tblCredentialPrerequisite|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_tblCredentialPrerequisite_tblCredentialApplicationType1|tblCredentialPrerequisite|ApplicationTypePrerequisiteId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_tblCredentialPrerequisite_tblCredentialType|tblCredentialPrerequisite|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_tblCredentialPrerequisite_tblCredentialType1|tblCredentialPrerequisite|CredentialTypePrerequisiteId|tblCredentialType|CredentialTypeId
FK_tblCredentialPrerequisite_tblUser|tblCredentialPrerequisite|ModifiedUser|tblUser|UserId
FK_tblCredentialPrerequisiteExemption_tblCredentialType|tblCredentialPrerequisiteExemption|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_tblCredentialPrerequisiteExemption_tblPerson|tblCredentialPrerequisiteExemption|PersonId|tblPerson|PersonId
FK_tblCredentialPrerequisiteExemption_tblSkill|tblCredentialPrerequisiteExemption|SkillId|tblSkill|SkillId
FK_tblCredentialPrerequisiteExemption_tblUser|tblCredentialPrerequisiteExemption|ModifiedUser|tblUser|UserId
FK_tblCredentialQrCode_tblCredential|tblCredentialQrCode|CredentialId|tblCredential|CredentialId
FK_CredentialRequest_CredentialApplication|tblCredentialRequest|CredentialApplicationId|tblCredentialApplication|CredentialApplicationId
FK_CredentialRequest_CredentialRequestPathType|tblCredentialRequest|CredentialRequestPathTypeId|tblCredentialRequestPathType|CredentialRequestPathTypeId
FK_CredentialRequest_CredentialRequestStatusType|tblCredentialRequest|CredentialRequestStatusTypeId|tblCredentialRequestStatusType|CredentialRequestStatusTypeId
FK_CredentialRequest_CredentialType|tblCredentialRequest|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialRequest_Skill|tblCredentialRequest|SkillId|tblSkill|SkillId
FK_CredentialRequest_User|tblCredentialRequest|StatusChangeUserId|tblUser|UserId
FK_CredentialRequestAssociationType_User|tblCredentialRequestAssociationType|ModifiedUser|tblUser|UserId
FK_CredentialRequestCredentialRequest_AssociatedCredentialRequest|tblCredentialRequestCredentialRequest|AssociatedCredentialRequestId|tblCredentialRequest|CredentialRequestId
FK_CredentialRequestCredentialRequest_CredentialRequestAssociationType|tblCredentialRequestCredentialRequest|AssociationTypeId|tblCredentialRequestAssociationType|CredentialRequestAssociationTypeId
FK_CredentialRequestCredentialRequest_OriginalCredentialRequest|tblCredentialRequestCredentialRequest|OriginalCredentialRequestId|tblCredentialRequest|CredentialRequestId
FK_CredentialRequestFieldData_CredentialApplicationField|tblCredentialRequestFieldData|CredentialApplicationFieldId|tblCredentialApplicationField|CredentialApplicationFieldId
FK_CredentialRequestFieldData_CredentialRequest|tblCredentialRequestFieldData|CredentialRequestId|tblCredentialRequest|CredentialRequestId
FK_CredentialRequestPathType_User|tblCredentialRequestPathType|ModifiedUser|tblUser|UserId
FK_CredentialRequestStatusType_User|tblCredentialRequestStatusType|ModifiedUser|tblUser|UserId
FK_CredentialStatusType_User|tblCredentialStatusType|ModifiedUser|tblUser|UserId
FK_CredentialType_CredentialCategory|tblCredentialType|CredentialCategoryId|tblCredentialCategory|CredentialCategoryId
FK_CredentialType_SkillType|tblCredentialType|SkillTypeId|tblSkillType|SkillTypeId
FK_CredentialType_User|tblCredentialType|ModifiedUser|tblUser|UserId
FK_CredentialTypeCrossSkill_User|tblCredentialTypeCrossSkill|ModifiedUser|tblUser|UserId
FK_CredentialTypeCrossSkillFrom_CredentialType|tblCredentialTypeCrossSkill|CredentialTypeFromId|tblCredentialType|CredentialTypeId
FK_CredentialTypeCrossSkillFromTo_CredentialType|tblCredentialTypeCrossSkill|CredentialTypeToId|tblCredentialType|CredentialTypeId
FK_CredentialTypeDowngradePath_User|tblCredentialTypeDowngradePath|ModifiedUser|tblUser|UserId
FK_CredentialTypeDowngradePathFrom_CredentialType|tblCredentialTypeDowngradePath|CredentialTypeFromId|tblCredentialType|CredentialTypeId
FK_CredentialTypeDowngradePathTo_CredentialType|tblCredentialTypeDowngradePath|CredentialTypeToId|tblCredentialType|CredentialTypeId
FK_CredentialTypeTemplate_CredentialType|tblCredentialTypeTemplate|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialTypeTemplate_StoredFile|tblCredentialTypeTemplate|StoredFileId|tblStoredFile|StoredFileId
FK_CredentialTypeTemplate_User|tblCredentialTypeTemplate|ModifiedUser|tblUser|UserId
FK_CredentialTypeTestMaterialDomain_CredentialType|tblCredentialTypeTestMaterialDomain|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_CredentialTypeTestMaterialDomain_TestMaterialDomain|tblCredentialTypeTestMaterialDomain|TestMaterialDomainId|tblTestMaterialDomain|TestMaterialDomainId
FK_CredentialTypeTestMaterialDomain_User|tblCredentialTypeTestMaterialDomain|ModifiedUser|tblUser|UserId
FK_CredentialTypeUpgradePath_User|tblCredentialTypeUpgradePath|ModifiedUser|tblUser|UserId
FK_CredentialTypeUpgradePathFrom_CredentialType|tblCredentialTypeUpgradePath|CredentialTypeFromId|tblCredentialType|CredentialTypeId
FK_CredentialTypeUpgradePathTo_CredentialType|tblCredentialTypeUpgradePath|CredentialTypeToId|tblCredentialType|CredentialTypeId
FK_CredentialWorkflowActionEmailTemplate_CredentialApplicationType|tblCredentialWorkflowActionEmailTemplate|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialWorkflowActionEmailTemplate_SystemActionEmailTemplate|tblCredentialWorkflowActionEmailTemplate|SystemActionEmailTemplateId|tblSystemActionEmailTemplate|SystemActionEmailTemplateId
FK_CredentialWorkflowActionEmailTemplate_User|tblCredentialWorkflowActionEmailTemplate|ModifiedUser|tblUser|UserId
FK_CredentialWorkflowFee_CredentialApplication|tblCredentialWorkflowFee|CredentialApplicationId|tblCredentialApplication|CredentialApplicationId
FK_CredentialWorkflowFee_CredentialApplicationRefundPolicy|tblCredentialWorkflowFee|CredentialApplicationRefundPolicyId|tblCredentialApplicationRefundPolicy|CredentialApplicationRefundPolicyId
FK_CredentialWorkflowFee_CredentialRequest|tblCredentialWorkflowFee|CredentialRequestId |tblCredentialRequest|CredentialRequestId
FK_CredentialWorkflowFee_CredentialWorkflowActionType_1|tblCredentialWorkflowFee|OnPaymentCreatedSystemActionTypeId|tblSystemActionType|SystemActionTypeId
FK_CredentialWorkflowFee_CredentialWorkflowActionType_2|tblCredentialWorkflowFee|OnInvoiceCreatedSystemActionTypeId|tblSystemActionType|SystemActionTypeId
FK_CredentialWorkflowFee_ProductSpecification|tblCredentialWorkflowFee|ProductSpecificationId|tblProductSpecification|ProductSpecificationId
FK_DataType_User|tblDataType|ModifiedUser|tblUser|UserId
FK_tblDialects_tblEntity|tblDialects|EntityId|tblEntity|EntityId
FK_DocumentTypeCategory_User|tblDocumentTypeCategory|ModifiedUser|tblUser|UserId
