TABLE_SCHEMA|TABLE_NAME
dbo|tblMaterialRequestPanelMembershipTask
dbo|tblMaterialRequestPanelMembershipType
dbo|tblMaterialRequestPayroll
dbo|tblMaterialRequestPublicNote
dbo|tblMaterialRequestRound
dbo|tblMaterialRequestRoundAttachment
dbo|tblMaterialRequestRoundLink
dbo|tblMaterialRequestRoundStatusType
dbo|tblMaterialRequestStatusType
dbo|tblMaterialRequestTaskType
dbo|tblMyNaatiInvalidCookie
dbo|tblMyNaatiUser
dbo|tblNcmsInvalidCookie
dbo|tblNote
dbo|tblNoteAttachment
dbo|tblNotification
dbo|tblNotificationType
dbo|tblODAddressVisibilityType
dbo|tblOffice
dbo|tblOrder
dbo|tblOrderItem
dbo|tblPanel
dbo|tblPanelMembership
dbo|tblPanelMemberShipCoordinatorCredentialType
dbo|tblPanelMemberShipCredentialType
dbo|tblPanelMemberShipMaterialCredentialType
dbo|tblPanelNote
dbo|tblPanelRole
dbo|tblPanelRoleCategory
dbo|tblPasswordHistory
dbo|tblPaymentMethodType
dbo|tblPayroll
dbo|tblPdPointsLimitType
dbo|tblPerson
dbo|tblPersonAccessBlock
dbo|tblPersonAttachment
dbo|tblPersonImage
dbo|tblPersonName
dbo|tblPhone
dbo|tblPodHistory
dbo|tblPostcode
dbo|tblProductSpecification
dbo|tblProfessionalDevelopmentActivity
dbo|tblProfessionalDevelopmentActivityAttachment
dbo|tblProfessionalDevelopmentCategory
dbo|tblProfessionalDevelopmentCategoryGroup
dbo|tblProfessionalDevelopmentCategoryRequirement
dbo|tblProfessionalDevelopmentCredentialApplication
dbo|tblProfessionalDevelopmentRequirement
dbo|tblProfessionalDevelopmentSection
dbo|tblProfessionalDevelopmentSectionCategory
dbo|tblProfessionalDevelopmentSubSection
dbo|tblQualification
dbo|tblRecertification
dbo|tblRefundMethodType
dbo|tblRefundPolicyParameter
dbo|tblRegistrationRequest
dbo|tblRolePlayer
dbo|tblRolePlayerRoleType
dbo|tblRolePlayerStatusType
